21407, 15540, 22597, 21399, 23843, 20237, 22365, 14618, 2019, 14338, 2399, 3902, 21210, 21708, 21981, 17904, 13251, 16762, 9735, 16535
7911, 21789, 24378, 22434, 11326, 9111, 3428, 14843, 2962, 8676, 18105, 14522, 14650, 17095, 1428, 14131, 21138, 15424, 15586, 1827
12478, 793, 13977, 7809, 23115, 14435, 10452, 21753, 4224, 22606, 13480, 24975, 5347, 11080, 24122, 14004, 10164, 22582, 15140, 18177
10258, 10299, 23347, 7083, 4902, 23900, 5000, 5198, 2822, 21993, 10534, 10510, 7057, 11294, 22283, 19200, 5995, 10580, 3419, 22754
11284, 6614, 18980, 8091, 20352, 5899, 20204, 7589, 9192, 20583, 7483, 22591, 15765, 2198, 14428, 7026, 21132, 15201, 18313, 23854
14560, 6556, 18479, 4809, 23691, 10183, 20786, 18459, 23181, 21332, 3702, 24310, 3533, 14239, 1374, 6475, 9778, 5069, 6628, 14260
10291, 15577, 395, 13380, 14511, 22795, 18003, 10881, 9248, 17356, 23098, 15578, 1929, 12819, 11164, 17028, 12702, 20905, 24700, 9566
18757, 19588, 12262, 9405, 8494, 3132, 17566, 13066, 24906, 20138, 12392, 24361, 15222, 13568, 2101, 15191, 18568, 24301, 7478, 1589
1299, 6826, 8864, 16568, 21812, 8409, 4320, 7997, 8872, 23607, 22049, 22191, 21477, 24304, 24131, 21743, 15026, 21992, 6659, 2984
4912, 14629, 21395, 10139, 21020, 18687, 15973, 2796, 21344, 21500, 24446, 2936, 7406, 17992, 15578, 21654, 15810, 8958, 8524, 8725
12745, 2005, 13240, 16914, 13309, 16431, 24273, 9697, 23316, 6326, 5186, 2179, 22527, 14543, 6690, 8183, 249, 4909, 7686, 12769
21023, 22153, 20567, 11725, 18057, 4200, 3728, 9540, 5524, 7179, 21602, 726, 9369, 1654, 5345, 17533, 7786, 19469, 14611, 4219
